id,name,created_at,updated_at,rename,tag_type,name2
242,Sports Clubs,2014-11-18 03:55:09 +1100,2014-11-18 03:55:09 +1100,sports clubs,Delete,
243,DIY Food,2014-11-18 03:56:46 +1100,2014-11-18 03:56:46 +1100,DIY,Dietary_type,DIY
244,Print Media & Publications,2014-11-18 04:03:00 +1100,2014-11-18 04:03:00 +1100,print media & publications,Delete,
245,スーパー,2014-11-18 04:09:51 +1100,2014-11-18 04:09:51 +1100,スーパー,Delete,
246,オーガニックストア,2014-11-18 04:09:51 +1100,2014-11-18 04:09:51 +1100,オーガニックストア,Delete,
247,健康食品,2014-11-18 04:09:51 +1100,2014-11-18 04:09:51 +1100,健康��品,Delete,
248,Women's Clothing,2014-11-18 04:11:36 +1100,2014-11-18 04:11:36 +1100,women's clothing,Delete,
249,Children's Clothing,2014-11-18 04:11:37 +1100,2014-11-18 04:11:37 +1100,children's clothing,Delete,
250,Fashion,2014-11-18 04:23:48 +1100,2014-11-18 04:23:48 +1100,fashion,Delete,
251,Hungarian,2014-11-18 06:57:49 +1100,2014-11-18 06:57:49 +1100,Hungarian,Cuisine,Hungarian
252,Driving Schools,2014-11-18 06:58:21 +1100,2014-11-18 06:58:21 +1100,driving schools,Delete,
253,Beaches,2014-11-18 07:01:01 +1100,2014-11-18 07:01:01 +1100,beaches,Delete,
