"","id1","name1","address1","id2","name2","address2"
"159082",6206,"watermark","2a the esp",6212,"watermark restaurant","2a the esp"
"159745",6255,"la piadina","106 glenayr ave",6424,"la piadina","106 glenayr ave"
"160244",6273,"miss chu","178 campbell pde",6366,"misschu","178 campbell pde"
"160609",6295,"sushi st","76 hall st",6393,"sushi st","76 hall st"
"160721",6298,"fish house","164 campbell pde",6333,"fishouse","164 campbell pde"
"161127",6318,"mr moutache","69-71 hall stbondi",6354,"mr moustache","61-71 hall st"
"161217",6325,"balusus","259 bondi rd",6434,"balusus north indian take away","259 bondi rd"
"161218",6325,"balusus","259 bondi rd",6435,"balusus indian cuisine","259 bondi rd"
"161226",6328,"bavarian bier cafe","108 campbell pde",6365,"bavarian bier caf+ bondi beach","108 campbell pde"
"161412",6336,"intra thai restaurant","90 curlewis st",6415,"thai intra","90 curlewis st"
"161491",6341,"34 degrees south","34a campbell pde",6426,"38 degree south","30 campbell pde"
"161530",6344,"gusto","16 hall st",6453,"gusto espresso bar","16 hall st"
"161568",6346,"pashas lounge turkish restaurant","273 bondi rd",6431,"pashas turkish restaurant","273 bondi rd"
"161907",6367,"roys seafood tapas bar","136-138 curlewis st",6437,"roys","141 curlewis st"
"162378",6434,"balusus north indian take away","259 bondi rd",6435,"balusus indian cuisine","259 bondi rd"
"162414",6444,"big johns grill","211 bondi rd",6446,"big johns pizzas","199 bondi rd"
"162461",6462,"grandfatherss moustache","670 new south head rd",6490,"grand fathers moustache","670 new south head rd"
"162465",6464,"crust gourmet pizza","516 old south head rd2029",6476,"crust pizza","516 old south head rd"
"162478",6468,"pasta pantry rose bay","504 old south head rd",6475,"pasta pantry","504 old south head rd"
"162572",6508,"bay leaf indian restaurant","704 old south head rd",6511,"bay leaf restaurant","698 old south head rd"
"162574",6514,"watsons bay tea room","8 marine pde",6515,"watsons bay tea gardens","8 marine pde"
"162605",6523,"jo & willys depot","286 campbell pde",6531,"joe & willys depot","286 campbell pde"
"162622",6537,"doyles","marina pde 11watsons bay",6542,"doyles on the beach","11 marine pde"
